Label,name,code,region,sub_region,lat,lng,Abb
54,Curaçao,531,Latin America and the Caribbean,Caribbean,12.16957,-68.990021,CUW
55,Cyprus,196,Asia,Western Asia,35,33,CYP
56,Czech Republic,203,Europe,Eastern Europe,49.75,15.5,CZE
57,Democratic People's Republic of Korea,408,Asia,Eastern Asia,40,127,PRK
58,Democratic Republic of the Congo,180,Africa,Middle Africa,0,25,COD
59,Denmark,208,Europe,Northern Europe,56,10,DNK
60,Djibouti,262,Africa,Eastern Africa,11.5,43,DJI
61,Dominica,212,Latin America and the Caribbean,Caribbean,15.42,-61.33,DMA
62,Dominican Republic,214,Latin America and the Caribbean,Caribbean,19,-70.67,DOM
63,Ecuador,218,Latin America and the Caribbean,South America,-2,-77.5,ECU
64,Egypt,818,Africa,Northern Africa,27,30,EGY
65,El Salvador,222,Latin America and the Caribbean,Central America,13.83,-88.92,SLV
66,Equatorial Guinea,226,Africa,Middle Africa,2,10,GNQ
67,Eritrea,232,Africa,Eastern Africa,15,39,ERI
68,Estonia,233,Europe,Northern Europe,59,26,EST
69,Ethiopia,231,Africa,Eastern Africa,8,38,ETH
70,Faeroe Islands,234,Europe,Northern Europe,62,-7,FRO
71,Falkland Islands (Malvinas),238,Latin America and the Caribbean,South America,-51.75,-59,FLK
72,Fiji,242,Oceania,Melanesia,-18,175,FJI
73,Finland,246,Europe,Northern Europe,64,26,FIN
74,France,250,Europe,Western Europe,46,2,FRA
75,French Guiana,254,Latin America and the Caribbean,South America,4,-53,GUF
76,French Polynesia,258,Oceania,Polynesia,-15,-140,PYF
77,Gabon,266,Africa,Middle Africa,-1,11.75,GAB
78,Gambia,270,Africa,Western Africa,13.47,-16.57,GMB
79,Georgia,268,Asia,Western Asia,42,43.5,GEO
80,Germany,276,Europe,Western Europe,51,9,DEU
81,Ghana,288,Africa,Western Africa,8,-2,GHA
82,Gibraltar,292,Europe,Southern Europe,36.18,-5.37,GIB
83,Greece,300,Europe,Southern Europe,39,22,GRC
84,Greenland,304,Northern America,South America,72,-40,GRL
85,Grenada,308,Latin America and the Caribbean,Caribbean,12.12,-61.67,GRD
86,Guadeloupe,312,Latin America and the Caribbean,Caribbean,16.25,-61.58,GLP
