Label,name,code,region,sub_region,_pos,lat,lng,Abb
90,Guinea-Bissau,624,Africa,Western Africa,"array([1.91610526, 1.82312105])",11.803749,-15.180413,GNB
91,Guyana,328,Latin America and the Caribbean,South America,"array([1.68801649, 1.97163573])",4.860416,-58.93018,GUY
92,Haiti,332,Latin America and the Caribbean,Caribbean,"array([1.70726157, 1.96016196])",18.971187,-72.285215,HTI
93,Holy See,336,Europe,Southern Europe,"array([1.68731748, 1.77278962])",41.902916,12.453389,VAT
94,Honduras,340,Latin America and the Caribbean,Central America,"array([1.7218501 , 1.94312049])",15.199999,-86.241905,HND
95,Hungary,348,Europe,Eastern Europe,"array([1.83259406, 1.92171156])",47.162494,19.503304,HUN
96,Iceland,352,Europe,Northern Europe,"array([1.84352991, 1.97358249])",64.963051,-19.020835,ISL
97,India,356,Asia,Southern Asia,"array([1.8306832 , 2.02026528])",20.593684,78.96288,IND
98,Indonesia,360,Asia,South-Eastern Asia,"array([1.82751849, 2.0505267 ])",-0.789275,113.921327,IDN
99,Iran (Islamic Republic of),364,Asia,Southern Asia,"array([1.78486421, 1.89879802])",32.427908,53.688046,IRN
100,Iraq,368,Asia,Western Asia,"array([1.89757756, 1.93435699])",33.223191,43.679291,IRQ
101,Ireland,372,Europe,Northern Europe,"array([1.84423076, 1.98925671])",53.41291,-8.24389,IRL
102,Isle of Man,833,Europe,Northern Europe,"array([1.90123094, 2.18534821])",54.236107,-4.548056,IMN
103,Israel,376,Asia,Western Asia,"array([1.76655309, 1.92871435])",31.046051,34.851612,ISR
104,Italy,380,Europe,Southern Europe,"array([1.85659895, 1.98213119])",41.87194,12.56738,ITA
105,Jamaica,388,Latin America and the Caribbean,Caribbean,"array([1.69946669, 1.99335886])",18.109581,-77.297508,JAM
106,Japan,392,Asia,Eastern Asia,"array([1.81098918, 2.04208103])",36.204824,138.252924,JPN
107,Jordan,400,Asia,Western Asia,"array([1.87836486, 1.93368856])",30.585164,36.238414,JOR
108,Kazakhstan,398,Asia,Central Asia,"array([1.75499183, 1.87702964])",48.019573,66.923684,KAZ
109,Kenya,404,Africa,Eastern Africa,"array([1.94474334, 1.98251715])",-0.023559,37.906193,KEN
110,Kiribati,296,Oceania,Micronesia,"array([1.98781975, 2.08884566])",-3.370417,-168.734039,KIR
111,Kuwait,414,Asia,Western Asia,"array([1.87634793, 1.88479147])",29.31166,47.481766,KWT
112,Kyrgyzstan,417,Asia,Central Asia,"array([1.73332032, 1.87168287])",41.20438,74.766098,KGZ
113,Lao People's Democratic Republic,418,Asia,South-Eastern Asia,"array([1.77789815, 2.09330411])",19.85627,102.495496,LAO
114,Latvia,428,Europe,Northern Europe,"array([1.81697774, 1.91983731])",56.879635,24.603189,LVA
115,Lebanon,422,Asia,Western Asia,"array([1.78187815, 1.92153111])",33.854721,35.862285,LBN
116,Lesotho,426,Africa,Southern Africa,"array([1.99093658, 2.00201272])",-29.609988,28.233608,LSO
117,Liberia,430,Africa,Western Africa,"array([1.8905502 , 1.86264086])",6.428055,-9.429499,LBR
118,Libya,434,Africa,Northern Africa,"array([1.86082718, 1.90332594])",26.3351,17.228331,LBY
119,Liechtenstein,438,Europe,Western Europe,"array([1.80199893, 1.8884909 ])",47.166,9.555373,LIE
120,Lithuania,440,Europe,Northern Europe,"array([1.76231228, 1.91316052])",55.169438,23.881275,LTU
121,Luxembourg,442,Europe,Western Europe,"array([1.86717091, 2.01255435])",49.815273,6.129583,LUX
122,Madagascar,450,Africa,Eastern Africa,"array([1.84124289, 2.10953587])",-18.766947,46.869107,MDG
123,Malawi,454,Africa,Eastern Africa,"array([1.9775754 , 1.90287747])",-13.254308,34.301525,MWI
124,Malaysia,458,Asia,South-Eastern Asia,"array([1.83272346, 2.07159775])",4.210484,101.975766,MYS
125,Maldives,462,Asia,Southern Asia,"array([1.74560082, 2.03309401])",3.202778,73.22068,MDV
126,Mali,466,Africa,Western Africa,"array([1.91312593, 1.85400889])",17.570692,-3.996166,MLI
127,Malta,470,Europe,Southern Europe,"array([1.8731923 , 1.91643948])",35.937496,14.375416,MLT
128,Marshall Islands,584,Oceania,Micronesia,"array([1.941944 , 2.1622961])",7.131474,171.184478,MHL
129,Martinique,474,Latin America and the Caribbean,Caribbean,"array([1.71857503, 2.11821799])",14.641528,-61.024174,MTQ
130,Mauritania,478,Africa,Western Africa,"array([1.87374187, 1.84157767])",21.00789,-10.940835,MRT
131,Mauritius,480,Africa,Eastern Africa,"array([1.85049466, 2.09079935])",-20.348404,57.552152,MUS
132,Mayotte,175,Africa,Eastern Africa,"array([1.74096291, 2.25243228])",-12.8275,45.166244,MYT
133,Mexico,484,Latin America and the Caribbean,Central America,"array([1.77517982, 1.96106444])",23.634501,-102.552784,MEX
134,Micronesia (Federated States of),583,Oceania,Micronesia,"array([1.9026869 , 2.15828135])",7.425554,150.550812,FSM
135,Monaco,492,Europe,Western Europe,"array([1.79884571, 2.11263097])",43.750298,7.412841,MCO
136,Mongolia,496,Asia,Eastern Asia,"array([1.78283618, 2.04856973])",46.862496,103.846656,MNG
137,Montenegro,499,Europe,Southern Europe,"array([1.90366764, 2.03160676])",42.708678,19.37439,MNE
138,Montserrat,500,Latin America and the Caribbean,Caribbean,"array([1.61576148, 1.98555035])",16.742498,-62.187366,MSR
139,Morocco,504,Africa,Northern Africa,"array([1.85148225, 1.8849687 ])",31.791702,-7.09262,MAR
140,Mozambique,508,Africa,Eastern Africa,"array([1.96186846, 1.9867689 ])",-18.665695,35.529562,MOZ
141,Myanmar,104,Asia,South-Eastern Asia,"array([1.7298918 , 1.99903597])",21.913965,95.956223,MMR
142,Namibia,516,Africa,Southern Africa,"array([1.90470076, 1.97116912])",-22.95764,18.49041,NAM
143,Nauru,520,Oceania,Micronesia,"array([2.0220881 , 2.00239305])",-0.522778,166.931503,NRU
144,Nepal,524,Asia,Southern Asia,"array([1.91706089, 2.0511114 ])",28.394857,84.124008,NPL
145,Netherlands,528,Europe,Western Europe,"array([1.81625778, 1.96901126])",52.132633,5.291266,NLD
146,New Caledonia,540,Oceania,Melanesia,"array([1.87008957, 2.15718837])",-20.904305,165.618042,NCL
147,New Zealand,554,Oceania,Australia and New Zealand,"array([1.87564489, 2.03619492])",-40.900557,174.885971,NZL
148,Nicaragua,558,Latin America and the Caribbean,Central America,"array([1.74615005, 1.93780236])",12.865416,-85.207229,NIC
149,Niger,562,Africa,Western Africa,"array([1.84852129, 1.82356369])",17.607789,8.081666,NER
150,Nigeria,566,Africa,Western Africa,"array([1.83303626, 1.88668369])",9.081999,8.675277,NGA
151,Niue,570,Oceania,Polynesia,"array([2.03848545, 2.09860209])",-19.054445,-169.867233,NIU
152,Northern Mariana Islands,580,Oceania,Micronesia,"array([1.86476338, 2.19423046])",17.33083,145.38469,MNP
153,Norway,578,Europe,Northern Europe,"array([1.82229402, 1.94312735])",60.472024,8.468946,NOR
154,Oman,512,Asia,Western Asia,"array([1.9344602 , 2.03069096])",21.512583,55.923255,OMN
155,Pakistan,586,Asia,Southern Asia,"array([1.84295684, 2.03866266])",30.375321,69.345116,PAK
156,Palau,585,Oceania,Micronesia,"array([1.83456993, 2.16691033])",7.51498,134.58252,PLW
157,Panama,591,Latin America and the Caribbean,Central America,"array([1.75176782, 1.96583777])",8.537981,-80.782127,PAN
158,Papua New Guinea,598,Oceania,Melanesia,"array([1.92910798, 2.07257518])",-6.314993,143.95555,PNG
159,Paraguay,600,Latin America and the Caribbean,South America,"array([1.72886587, 1.91793532])",-23.442503,-58.443832,PRY
160,Peru,604,Latin America and the Caribbean,South America,"array([1.7837018 , 2.01526684])",-9.189967,-75.015152,PER
161,Philippines,608,Asia,South-Eastern Asia,"array([1.85068909, 2.02478202])",12.879721,121.774017,PHL
162,Poland,616,Europe,Eastern Europe,"array([1.79637776, 1.93383395])",51.919438,19.145136,POL
163,Portugal,620,Europe,Southern Europe,"array([1.81273663, 1.95665913])",39.399872,-8.224454,PRT
